Course Code,Course Title,Credit Hrs,Lecturer Name,Room Name,Day,Time
PEAC 100,Physical Activity [Sec A],NC,K. Oheneba Nti,B. Ball Court,Monday,5:00 PM - 6:00 PM
ENGL 112,Language and Writing Skills II [Sec B] (FOS & SOB),2,C. Pokuaa,Baobab RM1,Tuesday,10:00 AM - 12:30 PM
ENGL 112,Language and Writing Skills II [Sec A] (SONM),2,C. Pokuaa,Bulley Room 3,Monday,7:00 AM - 9:30 AM
CMME 115,Introduction to Communication Skills [Sec A],2,Dr. A. Oye,Bulley Room 4,Friday,10:00 AM - 12:30 PM
CMME 115,Introduction to Communication Skills [Sec B](SONM),2,Dr. A. Oye,Baobab RM1,Wednesday,7:00 AM - 9:30 AM
SOCI 115,Principles of Sociology [Sec A],3,Dr. D. Dovie,Bulley Room 4,Wednesday,10:00 AM - 12:30 PM
RELB 163,Life and Teachings of Jesus [Sec A],3,Dr. F. Tenortey,Baobab RM3,Wednesday,2:00 PM - 4:30 PM
RELB 163,Life and Teachings of Jesus [Sec C] (SONM),3,Dr. F. Tenortey,Bulley Room 5,Thursday,10:00 AM - 12:30 PM
RELB 163,Life and Teachings of Jesus [Sec B],3,Dr. F. Tenortey,Bulley Room 1,Tuesday,2:00 PM - 4:30 PM
ENGL 111,Language and Writing Skills I [Sec B],2,Dr. S. Adjei-Mensah,Bulley Room 2,Tuesday,7:00 AM - 9:30 AM
ENGL 111,Language and Writing Skills I [Sec A],2,Dr. S. Adjei-Mensah,Bulley Room 1,Friday,7:00 AM - 9:30 AM
ENGL 111,Language and Writing Skills I [Sec C] (SONM),2,Dr. S. Adjei-Mensah,American High,Thursday,7:00 AM - 9:30 AM
FREN 121,French for General Communication I [Sec A],2,J. Elorm Doufodji,Baobab RM3,Monday,2:00 PM - 4:30 PM
ENGL 111,Language and Writing Skills I [Sec D] (SONM),2,Dr. S. Adjei-Mensah,Baobab RM5,Friday,10:00 AM - 12:30 PM
ENGL 112,Language and Writing Skills II [Sec C] (SOE & FASS),2,C. Pokuaa,Baoaba RM5,Tuesday,7:00 AM - 9:30 AM
CMME 115,Introduction to Communication Skills [Sec C],2,Dr. A. Oye,Bulley Room 1,Monday,10:00 AM - 12:30 PM
