VALLEY VIEW UNIVERSITY,LECTURER,COURSE CODE & TITLE,CREDIT HRS,CLASSROOM,DAYS,TIMINGS,R. Amponsah,"COSC 113 Elements of Progamming [IT, BIS, BEIT]",3,CS3,M,2:00pm - 4:30pm
DEPARTMENT OF COMPUTING SCIENCES AND ENGINEERING (CS IT BIS) AND MATHEMATICAL SCIENCES,,,,,,,,,,,,
FIRST SEMESTER - 2025 / 2026 ACADEMIC YEAR,,,,,,,,,,,,
TENTATIVE TIMETABLE,,,,,,,,,,,,
,J. Abandoh-Sam,INFT 346 Software Development Life Cycle,3.0,CS1,T,10:00am - 12:30pm,,,,,,
,J. Abandoh-Sam,COSC 447 Software Engineering,3.0,CS1,T,10:00am - 12:30pm,,,,,,
,J. Abandoh-Sam,INFT 439 Cloud Computing Systems,3.0,CS1,T,2:00pm - 4:30pm,,,,,,
,J. Abandoh-Sam,COSC 429 Cloud Computing Systems,3.0,CS1,T,2:00pm - 4:30pm,,,,,,
,J. Abandoh-Sam,COSC 352 Computer Security,3.0,Business Lab,M,2:00pm - 4:30pm,,,,,,
,J. Abandoh-Sam,INFT 452 Enterprise Information Security,3.0,Business Lab,M,2:00pm - 4:30pm,,,,,,
,J. Abandoh-Sam,COSC 260 Structured Systems Analysis and Design,3.0,CS2,W,10:00am - 12:00pm,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Prof. W. Oblitey,MATH 171 Introductory Mathematics for Computer Science,3.0,CS1,M,10:00am - 12:30pm,,,,,,
,Prof. W. Oblitey,MATH 141 Algebra,3.0,CS2,T,10:00am - 12:30pm,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,M. Asare Tetteh,COSC 466 Systems and Network Administration,3.0,CS2,M,10:00am - 12:30pm,,,,,,
,M. Asare Tetteh,COSC 470 Computer and Cyber Forensics,3.0,CS3,T,10:00am - 12:30pm,,,,,,
,M. Asare Tetteh,INFT 470 Computer and Cyber Forensics,3.0,CS3,T,10:00am - 12:30pm,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Dr. P. Y. O. Amoako,COSC 455 Artificial Intelligence and Machine Learning [CS],3.0,CS1,W,3:00pm - 5:30pm,,,,,,
,Dr. P. Y. O. Amoako,"COSC 455 Artificial Intelligence and Machine Learning [IT, BEIT]",3.0,CS1,W,3:00pm - 5:30pm,,,,,,
,Dr. P. Y. O. Amoako,COSC 331 Computer Graphics I,3.0,CS Lab,T,2:00pm - 4:30pm,,,,,,
,Dr. P. Y. O. Amoako,COSC 255 Operating Systems,3.0,CS3,TH,2:00pm - 4:30pm,,,,,,
,Dr. P. Y. O. Amoako,INFT 425 Mobile Application Development,3.0,CS1,T,7:00am - 9:30am,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
